store_name,rating,reviewer_name,review_text
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0000,子連れで利用しますが 店員さんも親切で優しく いつも感謝しています 平日午前中はとくに空いているので 子連れにはおすすめです 敷地内に授乳室 ベビーカー貸出 子供が走り回れるスペースもあるので 大変助かっています
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0001,スターバックス自体よく利用します こちらの店舗も来たら必ずっていうぐらいです どこのお店に行ってもスタッフさん感じが良い 分からない事も嫌な顔せず皆親切 新商品出る度に必ず出向いてます 今回はサイドメニューにモンブランを注文 ほうじ茶余り好きじゃなかったけどすごく美味しかった 艸 イチゴの何とかペチーノも美味しかったけど 冬で寒いのでホットにすれば良かった
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0002,更新 スウィートポテト バニラシフォンケーキを特別50 オフにしてくれた 旨い スタバのケーキは初めてかもしれん 寒い冬の夜に温かい布団に入ったときのような幸福感 ここのスタバは初めて来ました 私の中であるあるなんだけど 注文時に よく頼まれるんですか とかバニラシロップに変更 は初めて聞くカスタムですとか よく声かけられますが今日も雑談タイムがありました いつ飲んでも旨い
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0003,スタバ巡り12 今年も11月1日からスタバもクリスマス仕様になり 毎年恒例のクリスマスブレンドも3種類出ました かなり遠いのですが 推しの映画がここしかやってないので 笑 スターバックスにも寄ってみました 木の造りが素敵です 座席は奥の方にあるようですが 今回はコーヒー豆だけの購入だったので 覗けず 今度はイートインします
スターバックス コーヒー ジ アウトレット広島店,1.0,user_0004,黄緑色っぽい髪の人が接客するようになってから明らかに接客が雑 商品を渡される時も嫌々って感じで 退店時の挨拶は一切ない ここ2年利用しているが 最低のスターバックスになった
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0005,週末は激混みだが 平日は楽園のよう 平日なら定員と客数が同数で待ちなど一切なし 客席もそれなりにあって良い感じ
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0006,他店と比べると接客レベルは高いように感じました 休日はどれくらいならぶかはわからないですけど 平日はゆっくりお買い物の合間に楽しむことができます 広くないスターバックスですので 休日は混雑が激しそうです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0007,徹底されてるサービス スターバックスどこに行っても心地よい ジアウトレット店では イートインはもちろん店舗外のベンチ等でも飲食可能
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0008,アウトレット行った時は利用させてもらいます 時期で色々新しいフラペチーノ出たりするのでお気に入りです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0009,こちらも明るい接客で癒されます ドリップコーヒーと安定のチョコチップクッキーで幸せな時間を 席が満席時でも 外にベンチ等がいくつかあるので良い感じです とても美味しかったです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0010,買い物が済んだので少し早いランチ 今日は温かいのでダークモカチップフラペチーノとディニッシュ パティで軽く頂きます スタッフの気持ち良い挨拶や受け答えと美味しい食事で満足のランチタイムでした
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0011,コロナ禍のせいか 店内飲食は空いてました でも 普段はきっと混んでるだろうなぁ それを見越して ４つです _ 流石スタバだけあって 応対のフレキシブルさは素晴らしい 桜フレーバーを注文したけど 紙コップ提供だし 折角の美しい盛りつけ が見えないし 蓋のせいで崩れてしまうと思い その事をカウンターの女性に言うと 蓋を別添で提供出来ると言われました お陰様で 綺麗な桜のラテアートが楽しめました 因みに 桜フレーバー 2種類とも 凄く香りが良くて美味しかったです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0012,通常価格の商品も置いてあるけど アウトレットの店舗なので グッズ等新商品で入荷しない物もあるとの事 白桃フラペチーノ 初めて モバイルオーダーを利用 トッピングとかよく分からないのでしたこと無かったけど モバイルオーダーは 自分であれこれ見れるので 無料のホイップとチョコソースを追加してみた が 残念 白桃にチョコソースは合わなかった ノーマルにしておけばと後悔 後 スタバは メンバー登録のニックネームは 無難に苗字にしておくのをオススメ 商品の受け取り 番号ではなく ニックネームで呼ばれます リアルあだ名を登録してて 呼ばれて 恥ずかしかった 即 変更したのは言うまでもありません
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0013,入口正面に注文カウンターがあり 右側から奥に延びるL字型の店舗レイアウトです 少し小さめの面積でした 今回は限定商品のあずきなこフラペチーノを頂きました 美味しかったです 店内にはテーブル席とカウンター席 ガラス越しに下の階が見えます があります スタバはどこの店舗も行列ですね 電子マネーはWAONカード iD QUICPayなどが利用できますが 最近のもの Edy Pay系など には対応されていませんでした 店舗の横にエレベータとエスカレータがありますので 行動の時短に繋がるかと思います 2020 1
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0014,景色が最高なのでドリンクだけなら外もオススメ 夏は非常に暑いのでご注意ください 可もなく不可もない爽やかで迅速な接客 店内は奥のテーブルで一人でゆっくりできた 外が見える席は多く平日でも中々座れないことが多い 少し入り口から遠く アウトレットの端に店舗があるがお客様は多く感じた
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0015,ＴＨＥOUTLETSのスタバで買い物途中に休憩 けっこう端っこにあるのでそこまで混雑していないけど 天気が良く外のテラスでいただきました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0016,近くまで行った際は結構な頻度で寄ります 接客も凄くいいですし広島市内で唯一ナイトロが飲めるのも魅力の一つです
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0017,寂しい雰囲気のアウトレットにあるスタバ こういうアウトレット自体がもう時代遅れなのかも 空いてていいっていうのを通り越してガラガラ過ぎでワクワクしない ここのスタバも雰囲気がなんだかね 商品は同じだけど そもそもスタバって飲み物食べ物が美味しいから行くっていうのと違う気もするから 訪問時はディスプレイもイマイチ BGMも季節感は無く 店内も肌寒い 照度も少し暗すぎかなと感じてしまいました 私は少しリラックスしたいなとか 一息入れたいなという時に空間を利用しに行く感じなんでこの評価となりました
スターバックス コーヒー ジ アウトレット広島店,2.0,user_0018,注文待ちの列に並んでいたらモバイルオーダーを勧めてくるけど罠です笑 既に並んでいたら絶対にレジ注文の方が早いので無視しましょう
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0019,爽やかなスタッフさんが手早くｺｰﾙﾄﾞﾌﾞﾘｭｰﾄﾞｿｰﾀﾞを作ってくれました
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0020,基本 激込みのスタバ 席数は多めだが 入口からレジまでが近いため混雑時はかなりガチャガチャする
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0021,オープン直後に寄りました 本日のコーヒーとアップル ベリーパウンドケーキをいただきました
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0022,初スタバ お高いので遠慮していたが 3000円カード貰ったので行ってみました ストロベリーなんとかを注文 娘が喜んでおりました ありがとうございました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0023,閉店間際に行きましたが 店員さんは嫌な顔ひとつせず とても丁寧な接客をして下さいました とても寒かったので 温かいコーヒーが飲めて 良かったです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0024,すぐそばに地下のエスカレーターがあったりで立地条件は良いです 店内は結構広めで過ごしやすいです コーヒーノートが置いてあってそれぞれコーヒーを飲んだ人が感想を書いていくのが斬新で面白い 以前勤めてたブラックエプロンの方が考えたアイデアらしいですがお客さん同士の交流も出来て素晴らしいと思いました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0025,初めてコーヒープレスサービスを注文 他店の試飲で気に入り 教えてもらった注文時の台詞を言う コーヒープレスでお願いします
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0026,近くにベンチもたくさんあるので アウトレットモールを歩き回った後にゆっくりできて良いです メロンフラペチーノを頼みましたが 美味しかったです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0027,スタッフが素晴らしかった 小柄の素敵なスタッフが 店内を動き回って 綺麗な人なのに よく気がついて働いてました
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0028,1階のたべる所かき揚げドンがホタテが入っておいしです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0029,フラペチーノを子供が勢いよく落としてしまいカップに割れ目が入り割れ目から中身がこぼれてしまうので店員さんに空のカップを1ついただけないかとお願いしたところ 快く作り直して下さいました 私たちの服の心配までしてくださり本当に感謝しております 本当にありがとうございました
スターバックス コーヒー ジ アウトレット広島店,1.0,user_0030,スタバの定員さんはどこの店舗も良いイメージしかありません こちらの店舗も笑顔で対応してくださりました ただ子供を連れていて 買い物の紙袋を片手に３袋持ち もう片手は５歳の子供と手を繋いだ状態でした 飲み物を家で待っている家族にと 持ち帰りで４つ注文しました 受け取りカウンターに４つ並べられ 〇〇ご注文のお客様 レシートを見せると ありがとうございました って お い 待て待て 手で持てるわけないよね 袋に入れて下さい とお願いすると 温かいのと冷たいのを一緒に入れて大丈夫ですか 温かいの２つと 冷たいの２つなので別に入れて貰えますか 疲れました 本当に疲れました
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0031,アウトレ歩き疲れたときに立ち寄るスタバさん 安定の美味しさ スタバの看板を汚さないよう しっかりと教育もされているのでしょう 味も接客も素晴らしい 最近は 店員同士がおしゃべりしてるような バイト使ってんだからイイでしよ みたいなチェーン店が多い中 よく教育 統制ができてるなと関心します
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0032,ランチ後のリラックスタイムに 割とランチタイム近辺は人も少なく待ち時間ゼロ
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0033,休憩 混雑しそうな時間帯より少しずれてたので すぐに座ることができました
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0034,一息つくのに喫茶店に入っても購入や席取りにストレス感じるのがスタバの常でしたが ココは比較的空いてて良いお店です
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0035,スタバ大好きなのでアウトレットに来たらここでお茶して帰ります 席もたくさんあるし 隣との距離も取ってあるので安心して座れます 街中のスタバは行列すごいけどサクサク進むのであまり待ちなしでくつろげます 映画の後また行きたいと思います
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0036,飲み物などアウトレットではなかったと思うしアウトレット価格でもなかった アウトレットにあるので出来れば商品を持ったまま洋服屋さんに入りたくないので一通り回った後休憩ポイントとして利用している タイミング次第で並んだり並ばなかったりする 普通のスタバでソファーもあればテーブル席大テーブル席もある
スターバックス コーヒー ジ アウトレット広島店,1.0,user_0037,忙しくても笑顔や気配りが出来ているイメージでしたが OUTLET広島で2021年04月10日にスターバックスを利用しましたが 笑顔はなく 店員さんもただ仕事をしてるだけで接客業をしてるお店とは思えませんでした ドリンクも家族で全部で６つ購入なのにトレーにも入れてもらえず 貸してもらうよう伝えたら全部の上品をのせないで渡されたり
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0038,以前より接客は良くなりました 時間帯によってはめちゃめちゃお客さんが並びます コーヒー屋と言うよりはフラペチーノ屋ですね どこのスタバも一緒ですが
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0039,開店直後の朝 眠気を覚ますために入店し お決まりのアイスコーヒーをブラックで注文しました 程よい苦味の冷えたコーヒーが口からノドに流れ込む事で一気に目が醒めました 感激です
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0040,人が少なかったのもあると思うのですが めちゃくちゃ話しかけてくれて会計すら楽しかったです
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0041,丁寧に接客してくださいます 平日は静かで過ごしやすいと思いました
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0042,接客が最高にイイです ここに行って嫌な思いになった事は一度もありません でも いつもお客様でいっぱいで並んでいるので 時間に余裕のある時じゃないと行けないのが残念です ω
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0043,いつものスタバと思いきや NITRO ナイトロ ブリューコーヒーの提供できるお店 これが提供できるお店は珍しいんだよ 男の人ならわかると思うけど ビールサーバーのような機械で きめ細かい泡のコーヒーを提供してくれるってわけ キャラメルムースを載せるのもあり 女の子にはこっちがおすすめかな どちらもホットでないのが残念な冬場だけど 東京から来た友達も あっちでも出してくれるとこなかなかないんだよって言ってたから 是非一度試してみてね そうそう ここでNITRO入れてくれるお姉さんがまた素敵なんだよね かっこいいし 行った時は暇だったのかな いろいろ気さくに説明してくれたんだよね
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0044,今日は長い行列で混雑していましたが スタッフの皆さん笑顔の対応で癒されました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0045,お昼時で 人がとても多かったです お持ち帰りで 流れは早かったので10分くらいの滞在でした 美味しさはかわらず 良かったです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0046,泡乗ったのを注文したら できたてすぐを味わってほしいと目の前で飲む様勧められました 実際泡がきめ細やかで美味しかったし 店員さんのコダワリも感じた 良い店だと思った
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0047,柚子シトラスティーを頼んだのですが 何故かとても濃いくて飲めませんでした 量を間違っていたとしか思えませんでした ヒットコーヒーも頼みましたが 思ったより多かったので カップの大きさの目安のカップを置いて欲しいです
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0048,水出しコーヒーを注文 こちらのお店でしか設置していないビールサーバー式で注いでくれる ビールサーバー内には窒素が入っており味がまろやかになり美味しかった
スターバックス コーヒー ジ アウトレット広島店,1.0,user_0049,同じ商品を待っている客の順番を飛ばす レシート番号の確認をしない腑抜けた店
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0050,家族が買い物をしてる間に立ち寄りました 期間限定のスプリングラテを飲みました メニューを決める際に どれにしようか悩んでいたら スタッフさんが分かりやすく説明して下さいました ありがとうございました
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0051,買い物の後にのんびり利用しました チャイティーラテ チョコレートムースウイズドリップコーヒーの飲み物と シュガードーナツ ベーゼルムースをあわせて頂きましたよ 楽しいことひと時でしたよ
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0052,音楽の音が大きすぎのような
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0053,標準的なスタバ サービスもよく店員さんも手際良くテキパキと動いていて不満はありません もちろん飲み物も美味しいです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0054,店員さんが悩んでいたらアドバイスし おすすめを提案してくれる その提案の仕方が決して押し付けでなく フレンドリーで優しい どの店員さんもなので素晴らしい
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0055,今まで高知のスタバが感じの良さでは１番かと思ってましたが ここも最高でした 並びましたが待たされた感無かったです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0056,今日 飲んだナイトロコールドブリューコーヒーはとても美味しかった この店舗には滅多に来ないので早く全店で取り扱ってほしい 柔らかなコーヒー
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0057,アウトレット寄ったら絶対利用してます 結構カスタムして注文しても味のブレが少なく個人的に好きです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0058,駐車場はアウトレットモールものを使用 平日の午後に行ったが3 4人並んでおり フードも半分ほどなくなっていた 中だけでなく外にも食べるところがあり結構な人数が座って食べれそうだった
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0059,どこのスタバに行っても 店員さんは素敵な笑顔で迎えてくれますが こちらのスタバには 三代目JSBの岩田剛典さんにそっくりなお兄さんが居て モニタリング の撮影でもしてるのかと 笑 ビックリしました
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0060,土日はかなり並ぶので覚悟して行きます笑 店内より外のベンチや 植え込みの端など アウトレットには座る場所がたくさんあります
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0061,新しいドリンクメニューがスタートする日に行くとスタッフさんがとても丁寧に説明してくださいました また利用させていただきます
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0062,ジアウトレット広島 はしにお店があるので 平日は空いてる印象
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0063,通常のスタバ通り 豆やインスタントも売ってます タンブラーなどのグッズは少し前の季節外れの物が三割引くらいで売ってます
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0064,ペット連れて外から店内のメニュー見てたらスタッフがメニュー持って外まで来てくれた 注文後も外まで持って来てくれて 気持ち良くゆっくり出来た
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0065,飛沫防止の板が厚いのもあって 注文時に店員の言ってることがさっぱり聞き取れません
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0066,店内は狭め あまり落ち着ける雰囲気ではない
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0067,いつ行っても多いです バナナ を注文しました でも 作ってくれた店員さんのクリームが下手くそでした
スターバックス コーヒー ジ アウトレット広島店,1.0,user_0068,カフェ ラテのMサイズを注文した コストコと味は同等 価格は3倍以上 客も少ないのにかなり待たされた もう２度と行かない
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0069,場所柄仕方ないですがいつも混み合っています 持ち帰りにして 外のベンチで楽しむことができます
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0070,スタバは９時 オープンしてます
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0071,店員さんは笑顔で親切丁寧 親切過ぎるが故に聞き取りに時間がかかるときがあるが 致し方なし
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0072,店内の席がもう少し多ければ良かったんですが このご時世 致し方ないんでしょけどね
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0073,スタバの定員さんで嫌な思いをしたことがない 皆さん笑顔が素敵な方達です
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0074,いつも利用しますが混雑しています でもスタッフの対応が いいので素早く接客されています
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0075,抹茶クリームフラペチーノを注文しました お店は混んでいましたが 店員さんの対応が素敵でした _
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0076,フラペチーノを購入したんだけど他の食べ物もお薦めされ良い雰囲気のお店でした
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0077,店員の対応もよかったです 平日は人が少なくてとても良い
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0078,仕方ないことだけど お客さんが異常に多い 並ぶことがキライなイラッチな私にはムリゲー
